"Miraval Rosé 2021/22, Côtes de Provence","Miraval shot to fame when Angelina Jolie and Brad Pitt bought it. But its real brilliance lies with its winemakers: the prestigious Perrin family. This prestigious family are one of the most respected in the Rhône Valley. And the expertise really shines in this Provence rosé. This is a beautifully pale-pink rosé, with notes of wild strawberry, stone fruit, tangerine and white flowers. Try it with white fish and fennel.",£22.99 per bottle,75CL,Cinsault,"Syrah, Grenache, Rolle",Natural Cork,France,9.8,"Strawberry, Herbaceous, Peach, Raspberry",per bottle,Rosé,ABV 13.00%,Provence,Delicate & Dry,2022,Côtes De Provence,22.99
"Peyrassol 'Réserve des Templiers' Rosé 2022, Côtes de Provence","La Commanderie de Peyrassol was established in the 13th century by the Knights Templar. Today, it’s one of the most renowned estates in Provence. The team there are committed to quality – they manage each of their vineyards like a grand cru, and their grapes are grown organically. This rosé is a blend of five different varieties, which are harvested in the coolest hours of the night to preserve their exceptional freshness. Discover crisp notes of peach, raspberry and citrus zest, with a delicate herbal character. Several months of lees ageing gives it a rounded texture that’s perfect with seafood or a niçoise salad.",£15.99 per bottle,75CL,Cinsault,"Syrah, Grenache",Natural Cork,France,9.8,"Strawberry, Herbaceous, Peach, Raspberry",per bottle,Rosé,ABV 13.00%,Provence,Delicate & Dry,2022,Côtes De Provence,15.99
"Caves d'Esclans 'Whispering Angel' Rosé 2022, Côtes de Provence","Winemaker Sacha Lachine is a master of the art of rosé. In 2006, he took over Caves d'Esclans with a vision to create some of the world's greatest wine. To do so, he introduced groundbreaking winemaking techniques. This revolutionised Provence rosé – with Whispering Angel as the figurehead. This iconic wine has a wealth of awards behind it, and it's clear to see why. It has fresh notes of apple, pink grapefruit, peach and cream, and a long, smooth finish. Perfect with smoked salmon.",£23.99 per bottle,75CL,Grenache,"Rolle, Cinsault",Natural Cork,France,10.1,"Strawberry, Herbaceous, Peach, Raspberry",per bottle,Rosé,ABV 13.50%,Provence,Delicate & Dry,2022,Côtes De Provence,23.99
"Château de Berne ‘Inspiration’ Rosé 2021/22, Côtes de Provence","A stunning property and landmark of Provence, Château de Berne is a luxurious hotel with a Michelin-starred restaurant. It also happens to be located on a 18th-century wine estate, making it a pilgrimage for food & wine lovers around the world. Their eye-catching square bottles don’t just look the part, they taste great too. Inspiration rosé has remarkable freshness due to the grapes having been picked at nighttime, when the heat of the day has dropped. Concentrated yet elegant, it has vibrant summer fruits with a hint of mango, and lively, balanced acidity. Match its freshness with lemony roast chicken sprinkled with plenty of Provençale herbs.",£17.99 per bottle,75CL,Grenache,"Syrah, Cinsault",Natural Cork,France,9.8,"Strawberry, Herbaceous, Peach, Raspberry",per bottle,Rosé,ABV 13.00%,Provence,Delicate & Dry,2022,Côtes De Provence,17.99
"Domaine La Chautarde Rosé 2022, Côteaux Varois en Provence","Although Provence rosé is replicated the world over, nothing beats the real thing. And Côteaux Varois en Provence is one of the best places to find it at a pocket-friendly price. It’s an under-the radar region sheltered by a series of mountain ranges – keeping the climate cool and the wines fresh. We loved this one so much that we just had to make it exclusive to Majestic. It’s crisp and dry with plenty of fresh acidity. Expect flavours of watermelon, cherry and subtle herbal notes – brilliant with tomato and seafood pasta finished with fresh herbs.",£13.99 per bottle,75CL,Grenache,"Syrah, Carignan, Cinsault",Screwcap,France,9.8,"Strawberry, Peach, Raspberry",per bottle,Rosé,ABV 13.00%,Provence,Delicate & Dry,2022,Coteaux Varois-En-Provence,13.99
Marqués de Riscal Rioja Reserva 2018/19,"Marqués de Riscal made Rioja what it is today. Up until the 1850s the locals had made only light, young wines. Then, in 1858, Riscal introduced the ‘Bordeaux method’, barrel ageing. From that moment on, the practice became integral to Rioja. Today, Riscal Reserva is one of the most famous wines in Spain. Each grape is selected from vines that are at least 50 years old. Mature vines make the tastiest grapes. So the wine is incredibly rich and concentrated. It’s full of summer-berry flavours and notes of liquorice and vanilla spice. Perfect with jamón.",£17.99 per bottle,75CL,Tempranillo,Graciano,Natural Cork,Spain,10.9,"Vanilla, Black Fruit, Red Fruit",per bottle,Red,ABV 14.50%,Rioja And Navarra,Savoury & Full Bodied,2019,Rioja,17.99
"Peyrassol ‘Les Commandeurs’ Organic Rosé, Côtes de Provence 2022","Established in the 13th century by the Knights Templar, Peyrassol now make some of the finest rosé in Provence. This is their second wine – and their bestselling rosé globally. It’s a true reflection of the estate’s commitment to quality, which sees them select the best terroirs and grapes to craft their signature style. 2022 marks the first vintage to be certified organic – as all Peyrassol’s wines will be going forwards. You’ll find it elegant and floral with notes of ripe strawberry, raspberry, gooseberry and tangy citrus. The crisp, lively flavours pair beautifully with fresh fish – particularly salmon or scallops.",£18.99 per bottle,75CL,Grenache,"Cinsault, Mourvèdre, Syrah, Vermentino",Natural Cork,France,9.8,"Citrus Fruit, Red Fruit, Mineral",per bottle,Rosé,ABV 13.00%,Provence,Delicate & Dry,2022,Côtes De Provence,18.99
"Les Vignobles Foncalieu 'Vallée des Pins' Rosé 2021/22, Coteaux d'Aix-en-Provence","After Provence rosé at a great price? Look to Coteaux d'Aix-en-Provence. The vineyards here see plenty of sun with almost every vintage. So the grapes behind this bottle are full of delicious juice. It's aged on its lees, so this brings a delicious texture to its notes of raspberry, strawberry and guava. Try it with mussels in cream sauce.",£11.99 per bottle,75CL,Grenache,"Syrah, Cabernet Sauvignon, Cinsault",Screwcap,France,9.4,"Strawberry, Peach, Raspberry",per bottle,Rosé,ABV 12.50%,Provence,Delicate & Dry,2022,Coteaux D'Aix-En-Provence,11.99
Château Recougne Bordeaux Supérieur 2019/20,"Legend has it that during a stay at Château Recougne in the 16th century, Henri IV was so impressed by the quality of the wine he declared the château’s land ‘terra recognita’ – recognised land. The wax seal you see on the label was a symbol of the extremely coveted designation. The old Bordeaux variety Carménère is used in the blend – and the end result is fit for a king. Expect food-friendly notes of cherry, cedar wood and earthiness, with fine-grain tannins. Enjoy with roast lamb.",£12.99 per bottle,75CL,Merlot,"Cabernet Sauvignon, Cabernet Franc, Carménère",Natural Cork,France,10.9,"Smoke, Blackberry, Red Plum",per bottle,Red,ABV 14.50%,Bordeaux,Savoury & Full Bodied,2020,Bordeaux Supérieur,12.99
"Château Fontesteau 2014, Haut-Médoc","If you’re after great quality claret at excellent value, look for Cru Bourgeois on the label. Château Fontesteau have held this prestigious classification since 1874, so they’re certainly a name you can trust. This mature blend of classic Bordeaux grapes spends 12 months in oak barrels, making it supple, full-bodied and elegant – qualities that have earned the 2014 vintage an impressive 92-point score from Decanter. Discover rich blackcurrant, plum and cassis flavours with subtle notes of spice, toasty oak and tobacco. Its savoury character and smooth tannins make it an excellent match with red meats and game.",£16.99 per bottle,75CL,Cabernet Sauvignon,Merlot,Natural Cork,France,9.8,"Blackcurrant, Mint, Savoury",per bottle,Red,ABV 13.00%,Bordeaux,Savoury & Full Bodied,2014,Haut-Médoc,16.99
Gabriel Allard Côtes du Rhône Blanc 2022,"Les Grandes Serres winery specialises in wines from the picturesque Southern Rhône Valley. With a new and enthusiastic team, modern cellars and careful maturation practises, Les Grandes Serres make internationally renowned wines that showcase the best of the region. White Rhône accounts for less than 10% of the region’s production – but this wine isn’t to be overlooked. Their bold flavours and rich texture makes them extremely food-friendly – and they have often have the capacity to age for some time in bottle. With floral aromas and flavours of lime and stone fruit, this is a must-try wine. Its texture makes it a dream with creamy fish dishes.",£9.99 per bottle,75CL,Marsanne,"Clairette, Grenache Blanc, Roussanne, Viognier",Natural Cork,France,9.8,"Citrus Fruit, Floral, Stone Fruit",per bottle,White,ABV 13.00%,Rhône,Ripe & Rounded,2022,Côtes Du Rhône,9.99
Marqués de Cáceres Rioja Gran Reserva 2014/15,"Family-run Marqués de Cáceres was established in the 1970s by Enrique Forner. Situated in the subregion of La Rioja Alta, its reputation for high quality wines now extends across more than 120 countries. Since the 2008 vintage, this Gran Reserva has received only 90+ scores from the world’s best critics. To make it, grapes are hand-harvested from vineyards 650 metres above sea level. The high altitude keeps freshness in the fruit – a very important element of the process, given that a Gran Reserva must be aged for a minimum of five years before release. Discover ripe and elegant notes of plum, strawberry, vanilla, toast and coffee. Pair its plush character with roast lamb and all the trimmings. In 2022, James Suckling awarded the 2015 vintage 94 points.",£22.99 per bottle,75CL,Tempranillo,"Grenache, Graciano",Natural Cork,Spain,10.9,"Vanilla, Black Fruit, Red Fruit, Spice",per bottle,Red,ABV 14.50%,Rioja And Navarra,Savoury & Full Bodied,2015,Rioja,22.99
Chosen by Majestic Valpolicella Superiore DOC 2020/21,"We sent our award-winning buying team all around the world on an exciting new mission: to curate a new collection showcasing the best examples of key regions and core grape varietals – at great prices. Valpolicella is loved by Majestic customers – so we went to one of the oldest cooperatives in Verona to make this benchmark wine. Located in the hills north of the city, their vines have an average age of 30-35 years old – resulting in lower yields but more concentrated flavours. A classic blend of Corvina, Corvinone, Rondinella and Molinara, this is aged for an extra year before release, adding complexity and delicious vanilla spice. It’s typically soft and smooth, with ripe notes of wild cherries. A fantastic pairing for grilled lamb chops, goulash and medium-aged cheese.",£11.99 per bottle,75CL,Corvina,"Corvinone, Molinara, Rondinella",Screwcap,Italy,9.8,"Black Fruit, Red Cherry, Spice, Vanilla",per bottle,Red,ABV 13.00%,Veneto,Bold & Spicy,2021,Valpolicella,11.99
